"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.052506292E0,6.033650637E-1,-1.379349381E-1,7.049042583E-1
2.072590292E0,3.455392718E-1,-1.156678647E-1,5.882838368E-1
2.092674292E0,7.402624935E-2,-4.794298485E-2,4.069205821E-1
2.112757292E0,-4.078108072E-2,-7.217980921E-2,2.596908510E-1
2.132841292E0,-7.735981140E-3,-1.230013520E-1,2.097949386E-1
2.152925292E0,6.887093931E-2,-1.998440027E-1,1.944571882E-1
2.173009292E0,3.989886865E-2,-3.717773557E-1,1.626124978E-1
2.193093292E0,-1.227402538E-1,-4.593073130E-1,1.281464398E-1
2.213177292E0,-3.161080480E-1,-3.185013831E-1,8.032940328E-2
2.233261292E0,-3.737672865E-1,1.273012161E-2,4.589129239E-2
2.253345292E0,-2.665205896E-1,1.779774725E-1,1.904170960E-2
2.273429292E0,-2.818640769E-1,-5.715338886E-2,-1.171495765E-3
2.293513292E0,-5.812425613E-1,-2.375566214E-1,-1.100097522E-1
2.313597292E0,-8.935425282E-1,3.353110328E-2,-2.318348438E-1
2.333681292E0,-7.986336946E-1,5.345278978E-1,-3.248395324E-1
2.353765292E0,-3.809835017E-1,6.927027702E-1,-3.626009822E-1
2.373849292E0,-4.796236753E-2,2.728193998E-1,-3.446298838E-1
2.393933292E0,-4.766887054E-3,-2.148980796E-1,-3.213821352E-1
2.414016292E0,-1.690374464E-1,-2.411308289E-1,-3.140426874E-1
2.434100292E0,-2.842932642E-1,-5.837938190E-2,-3.290383816E-1
2.454185125E0,-2.099026740E-1,2.518022805E-2,-4.267177880E-1
2.474269125E0,-4.973569885E-3,3.495442122E-2,-5.338573456E-1
2.494353125E0,2.603407502E-1,7.670941204E-2,-5.311955214E-1
2.514437125E0,5.607905984E-1,7.512248307E-2,-4.239321351E-1
2.534521125E0,8.016969562E-1,-4.120316356E-2,-3.017535508E-1
2.554605125E0,8.065682650E-1,-2.556338310E-1,-2.370006889E-1
2.574689125E0,5.472462773E-1,-4.223248661E-1,-2.452497035E-1
2.594773125E0,1.733364463E-1,-4.625155330E-1,-1.831050664E-1
2.614857125E0,-1.031394228E-1,-4.652064741E-1,-6.561442465E-2
2.634941125E0,-2.725926638E-1,-4.936947823E-1,-2.752980217E-2
2.655025125E0,-4.023473561E-1,-4.992306232E-1,-6.102790684E-2
2.675109125E0,-4.286261499E-1,-2.834137082E-1,-9.967838228E-2
2.695192125E0,-2.299788296E-1,7.179751247E-2,-4.165137932E-2
2.715276125E0,1.292281598E-1,1.255962849E-1,5.246352032E-2
2.735360125E0,4.252761006E-1,-1.124091521E-1,1.388047338E-1
2.755444125E0,4.102939963E-1,-1.928264499E-1,1.341266334E-1
2.775528125E0,1.919171661E-1,-1.016028449E-1,3.955859691E-3
2.795612125E0,-1.136479154E-1,-2.323982716E-1,-2.266539633E-1
2.815696125E0,-5.402873755E-1,-2.625975609E-1,-3.779739141E-1
2.835780125E0,-8.443517685E-1,-5.033380911E-2,-4.585127831E-1
2.855864125E0,-6.020605564E-1,5.122420788E-1,-4.599739909E-1
2.875948125E0,2.226159573E-1,1.136700869E0,-3.479913771E-1
2.896032125E0,9.061002135E-1,1.038880110E0,-1.586205661E-1
2.916116125E0,9.080474377E-1,5.422871709E-1,2.852000110E-2
2.936200125E0,4.177601933E-1,1.832700372E-1,1.978683174E-1
2.956284125E0,-1.938393116E-1,7.811971009E-2,3.938895762E-1
2.976367125E0,-6.359941363E-1,6.263962388E-2,5.694404840E-1
2.996451125E0,-8.155635595E-1,5.051594228E-2,6.800637245E-1
3.016535125E0,-6.916095018E-1,-6.278654095E-3,7.237045169E-1
3.036619125E0,-2.441394478E-1,2.559033968E-2,8.131657839E-1
3.056703125E0,2.910890281E-1,1.483530402E-1,9.111918807E-1
3.076787125E0,6.330524683E-1,2.067829967E-1,9.484858513E-1
3.096871125E0,7.098981738E-1,1.960913390E-1,9.170237780E-1
3.116955125E0,5.755697489E-1,1.438588947E-1,8.458122015E-1
3.137039125E0,3.914762139E-1,1.080936864E-1,7.483989596E-1
3.157123125E0,2.248216420E-1,3.457260504E-2,6.349811554E-1
3.177207125E0,7.558275759E-2,-7.133243978E-2,5.071743727E-1
3.197291125E0,-8.241181821E-2,-1.329935342E-1,3.978996277E-1
3.217375125E0,-2.191010863E-1,-1.326712072E-1,3.183591962E-1
3.237459125E0,-3.766384423E-1,-1.896089315E-1,2.886705697E-1
3.257542125E0,-6.749936342E-1,-4.186408520E-1,2.736715078E-1
3.277626125E0,-8.428232670E-1,-3.346419930E-1,1.676059812E-1
3.297710125E0,-6.496480107E-1,2.285374403E-1,-5.841905251E-3
3.317794125E0,-3.678767681E-1,3.762065172E-1,-1.757475436E-1
3.337878125E0,-5.850605965E-1,1.642341912E-1,-2.671092749E-1
3.357962125E0,-1.146695614E0,-1.792069711E-2,-3.501618207E-1
3.378046125E0,-1.407329559E0,2.400780916E-1,-3.920650780E-1
3.398130125E0,-8.956979513E-1,7.075751424E-1,-2.115044892E-1
