"Time (s)","Pressure (hPa)"
1.293684788E2,1.017404297E3
1.294484584E2,1.017386719E3
1.295284584E2,1.017405762E3
1.296084600E2,1.017428223E3
1.296884584E2,1.017434082E3
1.297684788E2,1.017436035E3
1.298484584E2,1.017419922E3
1.299284584E2,1.017401855E3
1.300084584E2,1.017398926E3
1.300884584E2,1.017414551E3
1.301684772E2,1.017442383E3
1.302484584E2,1.017448242E3
1.303284600E2,1.017449707E3
1.304084584E2,1.017428711E3
1.304884584E2,1.017410156E3
1.305684772E2,1.017426758E3
1.306484584E2,1.017455078E3
1.307284584E2,1.017451172E3
1.308084584E2,1.017439941E3
1.308884584E2,1.017425781E3
1.309684788E2,1.017407715E3
1.310484584E2,1.017413574E3
1.311284584E2,1.017424316E3
1.312084584E2,1.017441895E3
1.312884584E2,1.017441895E3
1.313684788E2,1.017443848E3
1.314484584E2,1.017420898E3
1.315284584E2,1.017401367E3
1.316084600E2,1.017408203E3
1.316884584E2,1.017434082E3
1.317684788E2,1.017452148E3
1.318484584E2,1.017449707E3
1.319284678E2,1.017442871E3
1.320084584E2,1.017417480E3
1.320884584E2,1.017420410E3
1.321684772E2,1.017429199E3
1.322484584E2,1.017458008E3
1.323284600E2,1.017455078E3
1.324084584E2,1.017460938E3
1.324884584E2,1.017451172E3
1.325684788E2,1.017428711E3
1.326484600E2,1.017427246E3
1.327284584E2,1.017451172E3
1.328084584E2,1.017453125E3
1.328884584E2,1.017434082E3
1.329684788E2,1.017437500E3
1.330484584E2,1.017435059E3
1.331284584E2,1.017422852E3
1.332084584E2,1.017426270E3
1.332884600E2,1.017435059E3
1.333684772E2,1.017451172E3
1.334484584E2,1.017458984E3
1.335284584E2,1.017443848E3
1.336084584E2,1.017427246E3
1.336884584E2,1.017410156E3
1.337684788E2,1.017431641E3
1.338484584E2,1.017426270E3
1.339284694E2,1.017424805E3
1.340084584E2,1.017431152E3
1.340884584E2,1.017428223E3
1.341684772E2,1.017402344E3
1.342484584E2,1.017413086E3
1.343284584E2,1.017437988E3
1.344084584E2,1.017454590E3
1.344884584E2,1.017455566E3
1.345684772E2,1.017468750E3
1.346484600E2,1.017461426E3
1.347284584E2,1.017437012E3
1.348084647E2,1.017439453E3
1.348884584E2,1.017468262E3
1.349684788E2,1.017467773E3
1.350484584E2,1.017461426E3
1.351284584E2,1.017438477E3
1.352084584E2,1.017428711E3
1.352884584E2,1.017430664E3
1.353684772E2,1.017441406E3
1.354484600E2,1.017451660E3
1.355284584E2,1.017455078E3
1.356084584E2,1.017441406E3
1.356884584E2,1.017448730E3
1.357684788E2,1.017428223E3
1.358484584E2,1.017421387E3
1.359284694E2,1.017436035E3
1.360084584E2,1.017437012E3
1.360884584E2,1.017440430E3
1.361684772E2,1.017441406E3
1.362484584E2,1.017430664E3
1.363284600E2,1.017433594E3
1.364084584E2,1.017437988E3
1.364884584E2,1.017446777E3
1.365684772E2,1.017465820E3
1.366484584E2,1.017456055E3
1.367284584E2,1.017458008E3
1.368084584E2,1.017438477E3
1.368884584E2,1.017438477E3
1.369684788E2,1.017438477E3
1.370484584E2,1.017465820E3
1.371284584E2,1.017442871E3
1.372084584E2,1.017440918E3
1.372884584E2,1.017428711E3
1.373684772E2,1.017424805E3
1.374484584E2,1.017429688E3
1.375284600E2,1.017453613E3
1.376084584E2,1.017478516E3
1.376884584E2,1.017464355E3
1.377684788E2,1.017452637E3
1.378484584E2,1.017449219E3
1.379284678E2,1.017446289E3
1.380084584E2,1.017453613E3
1.380884584E2,1.017459473E3
1.381684772E2,1.017447754E3
1.382484584E2,1.017455078E3
1.383284584E2,1.017453125E3
1.384084584E2,1.017444336E3
1.384884584E2,1.017438477E3
1.385684772E2,1.017452637E3
1.386484584E2,1.017481445E3
1.387284584E2,1.017484375E3
1.388084584E2,1.017474609E3
1.388884584E2,1.017466797E3
1.389684772E2,1.017442871E3
1.390484584E2,1.017430176E3
1.391284600E2,1.017440430E3
1.392084584E2,1.017465332E3
1.392884584E2,1.017468750E3
1.393684772E2,1.017456055E3
1.394484584E2,1.017454590E3
1.395284584E2,1.017436035E3
1.396084584E2,1.017420898E3
1.396884600E2,1.017447266E3
1.397684788E2,1.017456055E3
1.398484584E2,1.017448242E3
1.399284678E2,1.017433594E3
1.400084584E2,1.017441895E3
1.400884584E2,1.017423828E3
1.401684772E2,1.017429199E3
1.402484584E2,1.017455566E3
1.403284600E2,1.017456543E3
1.404084584E2,1.017462402E3
1.404884584E2,1.017451660E3
1.405684772E2,1.017455566E3
1.406484584E2,1.017436523E3
1.407284584E2,1.017450195E3
1.408084584E2,1.017461914E3
1.408884584E2,1.017488281E3
1.409684772E2,1.017472168E3
1.410484584E2,1.017460938E3
1.411284584E2,1.017455078E3
1.412084584E2,1.017443359E3
1.412884584E2,1.017448730E3
1.413684772E2,1.017474609E3
1.414484584E2,1.017476562E3
1.415284584E2,1.017455078E3
1.416084584E2,1.017463379E3
1.416884600E2,1.017450195E3
1.417684788E2,1.017453125E3
1.418484584E2,1.017470703E3
1.419284678E2,1.017481934E3
1.420084584E2,1.017479004E3
1.420884584E2,1.017483398E3
1.421684772E2,1.017470215E3
1.422484584E2,1.017454590E3
1.423284600E2,1.017455078E3
1.424084584E2,1.017474609E3
1.424884600E2,1.017478516E3
1.425684788E2,1.017460449E3
1.426484584E2,1.017441406E3
1.427284584E2,1.017450684E3
1.428084584E2,1.017447266E3
1.428884600E2,1.017450195E3
1.429684772E2,1.017459961E3
1.430484584E2,1.017480469E3
1.431284584E2,1.017476074E3
1.432084584E2,1.017472656E3
1.432884584E2,1.017473145E3
1.433684772E2,1.017452148E3
1.434484584E2,1.017438965E3
1.435284584E2,1.017465820E3
1.436084584E2,1.017474609E3
1.436884600E2,1.017458496E3
1.437684788E2,1.017456055E3
1.438484584E2,1.017448730E3
1.439284694E2,1.017453613E3
1.440084584E2,1.017452637E3
1.440884584E2,1.017461426E3
1.441684772E2,1.017476074E3
1.442484584E2,1.017471191E3
1.443284584E2,1.017460449E3
1.444084584E2,1.017442383E3
1.444884584E2,1.017432129E3
1.445684788E2,1.017436523E3
1.446484584E2,1.017461426E3
1.447284584E2,1.017464844E3
1.448084631E2,1.017442383E3
1.448884584E2,1.017440918E3
1.449684772E2,1.017432617E3
1.450484584E2,1.017435059E3
1.451284584E2,1.017455566E3
1.452084584E2,1.017474609E3
1.452884584E2,1.017468262E3
1.453684772E2,1.017482910E3
1.454484584E2,1.017464844E3
1.455284584E2,1.017451660E3
1.456084584E2,1.017443359E3
1.456884584E2,1.017443848E3
1.457684772E2,1.017472656E3
1.458484584E2,1.017492676E3
1.459284678E2,1.017474121E3
1.460084584E2,1.017469727E3
1.460884584E2,1.017457031E3
1.461684772E2,1.017454102E3
1.462484584E2,1.017467773E3
1.463284584E2,1.017477051E3
1.464084584E2,1.017478516E3
1.464884584E2,1.017478027E3
1.465684772E2,1.017474121E3
1.466484584E2,1.017458496E3
1.467284584E2,1.017453613E3
1.468084584E2,1.017472168E3
1.468884584E2,1.017490234E3
1.469684772E2,1.017476074E3
1.470484584E2,1.017447266E3
1.471284584E2,1.017433105E3
1.472084584E2,1.017438965E3
1.472884584E2,1.017444824E3
1.473684772E2,1.017451172E3
1.474484600E2,1.017479980E3
1.475284600E2,1.017485840E3
1.476084584E2,1.017464355E3
1.476884584E2,1.017449219E3
1.477684788E2,1.017428711E3
1.478484584E2,1.017446777E3
1.479284678E2,1.017462891E3
1.480084600E2,1.017492188E3
1.480884584E2,1.017481934E3
1.481684772E2,1.017458008E3
1.482484584E2,1.017444336E3
1.483284584E2,1.017440918E3
1.484084584E2,1.017442383E3
1.484884584E2,1.017457031E3
1.485684772E2,1.017483887E3
1.486484584E2,1.017484375E3
1.487284584E2,1.017468262E3
1.488084584E2,1.017459473E3
1.488884584E2,1.017440918E3
1.489684772E2,1.017449219E3
1.490484584E2,1.017477539E3
1.491284600E2,1.017482910E3
1.492084584E2,1.017477539E3
1.492884584E2,1.017463867E3
1.493684772E2,1.017453613E3
1.494484584E2,1.017443848E3
1.495284584E2,1.017458008E3
1.496084584E2,1.017472168E3
1.496884584E2,1.017465332E3
1.497684772E2,1.017469238E3
1.498484584E2,1.017455078E3
1.499284678E2,1.017437988E3
1.500084584E2,1.017442383E3
1.500884584E2,1.017467285E3
1.501684772E2,1.017472656E3
1.502484584E2,1.017463867E3
1.503284584E2,1.017468750E3
1.504084584E2,1.017454102E3
1.504884584E2,1.017449219E3
1.505684772E2,1.017449707E3
1.506484584E2,1.017463379E3
1.507284584E2,1.017483887E3
1.508084584E2,1.017476074E3
1.508884584E2,1.017463379E3
1.509684772E2,1.017452148E3
1.510484600E2,1.017456543E3
1.511284600E2,1.017447754E3
1.512084584E2,1.017469727E3
1.512884584E2,1.017482422E3
1.513684772E2,1.017484375E3
1.514484584E2,1.017466797E3
1.515284584E2,1.017453125E3
1.516084584E2,1.017459473E3
1.516884584E2,1.017460449E3
1.517684788E2,1.017470703E3
1.518484584E2,1.017472168E3
1.519284678E2,1.017488770E3
1.520084584E2,1.017467773E3
1.520884584E2,1.017471191E3
1.521684772E2,1.017460449E3
1.522484584E2,1.017456543E3
1.523284584E2,1.017485352E3
1.524084584E2,1.017496582E3
1.524884584E2,1.017478027E3
1.525684772E2,1.017461426E3
1.526484584E2,1.017463867E3
1.527284584E2,1.017462891E3
1.528084584E2,1.017468262E3
1.528884584E2,1.017489746E3
1.529684772E2,1.017477539E3
1.530484584E2,1.017472656E3
1.531284600E2,1.017456543E3
1.532084584E2,1.017444824E3
1.532884584E2,1.017450195E3
1.533684772E2,1.017476074E3
1.534484584E2,1.017489258E3
1.535284584E2,1.017479980E3
1.536084584E2,1.017481934E3
1.536884584E2,1.017453125E3
1.537684788E2,1.017439941E3
1.538484584E2,1.017457031E3
1.539284678E2,1.017480469E3
1.540084584E2,1.017470703E3
1.540884584E2,1.017474121E3
1.541684772E2,1.017473145E3
1.542484584E2,1.017461426E3
1.543284584E2,1.017453125E3
1.544084584E2,1.017466309E3
1.544884584E2,1.017492188E3
1.545684788E2,1.017483398E3
1.546484584E2,1.017473145E3
1.547284584E2,1.017458984E3
1.548084631E2,1.017443848E3
1.548884584E2,1.017457031E3
1.549684772E2,1.017470215E3
1.550484584E2,1.017484863E3
1.551284584E2,1.017475098E3
1.552084584E2,1.017479980E3
1.552884584E2,1.017484863E3
1.553684772E2,1.017460449E3
1.554484584E2,1.017458984E3
1.555284584E2,1.017474609E3
1.556084584E2,1.017483398E3
1.556884584E2,1.017500977E3
1.557684772E2,1.017480957E3
1.558484584E2,1.017465820E3
1.559284678E2,1.017460938E3
1.560084600E2,1.017466797E3
1.560884584E2,1.017490234E3
1.561684772E2,1.017503906E3
1.562484584E2,1.017501953E3
1.563284584E2,1.017504883E3
1.564084584E2,1.017492676E3
1.564884584E2,1.017463379E3
1.565684772E2,1.017456055E3
1.566484584E2,1.017477051E3
