"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.430939031E1,3.211294697E1,1.189530278E2,1.474813905E1,1.302255487E0,8.267503008E1,4.740339432E0,4.740339432E0
8.530936587E1,3.211295218E1,1.189530423E2,1.450136602E1,1.257050629E0,7.838771512E1,4.743297077E0,4.743297077E0
8.630933964E1,3.211295218E1,1.189530592E2,1.440986616E1,1.349244334E0,8.796499413E1,4.743574495E0,4.743574495E0
8.730931461E1,3.211295821E1,1.189530690E2,1.455371029E1,1.079089888E0,7.690657771E1,4.742567032E0,4.742567032E0
8.830928862E1,3.211295841E1,1.189530889E2,1.467273428E1,1.398994186E0,8.330962403E1,4.741859470E0,4.741859470E0
8.930926335E1,3.211295922E1,1.189531036E2,1.463826641E1,1.485371208E0,8.421094121E1,4.736700710E0,4.736700710E0
9.030923831E1,3.211295908E1,1.189531190E2,1.469828624E1,1.494051700E0,8.769270412E1,4.734949343E0,4.734949343E0
9.130921209E1,3.211296230E1,1.189531346E2,1.463160344E1,1.483541252E0,8.523127111E1,4.736201297E0,4.736201297E0
9.230918729E1,3.211296474E1,1.189531496E2,1.457001299E1,1.484049310E0,8.373032375E1,4.736517422E0,4.736517422E0
9.330916095E1,3.211296470E1,1.189531649E2,1.464436227E1,1.483643806E0,8.747084149E1,4.736804669E0,4.736804669E0
9.430913591E1,3.211296677E1,1.189531791E2,1.467822166E1,1.481945129E0,8.317218319E1,4.738342713E0,4.738342713E0
9.530910969E1,3.211296884E1,1.189531934E2,1.469131683E1,1.479335321E0,8.221435125E1,4.738473365E0,4.738473365E0
9.630908537E1,3.211297183E1,1.189532086E2,1.499163736E1,1.478162534E0,8.093919121E1,4.739616586E0,4.739616586E0
9.730905879E1,3.211297366E1,1.189532229E2,1.496081001E1,1.480394372E0,8.069808286E1,4.738171518E0,4.738171518E0
9.830903411E1,3.211297977E1,1.189532363E2,1.481100472E1,1.433979740E0,7.183476529E1,4.737865734E0,4.737865734E0
9.930900896E1,3.211298080E1,1.189532518E2,1.495051504E1,1.477122169E0,7.769515245E1,4.736510655E0,4.736510655E0
1.003089830E2,3.211298067E1,1.189532667E2,1.493941603E1,1.471495924E0,8.267243681E1,4.736036517E0,4.736036517E0
1.013089565E2,3.211297950E1,1.189532812E2,1.532880656E1,1.430328128E0,8.791094095E1,4.738511502E0,4.738511502E0
1.023089314E2,3.211298177E1,1.189532951E2,1.522848080E1,1.403717482E0,8.561738657E1,4.740565231E0,4.740565231E0
1.033089056E2,3.211298220E1,1.189533102E2,1.497024810E1,1.454571130E0,8.450053660E1,4.739044095E0,4.739044095E0
1.043088808E2,3.211298423E1,1.189533250E2,1.500515040E1,1.482784672E0,8.129293598E1,4.738295332E0,4.738295332E0
1.053088552E2,3.211298535E1,1.189533403E2,1.487616956E1,1.476813965E0,8.151932946E1,4.738101365E0,4.738101365E0
