"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.119946978E1,3.211543764E1,1.189499445E2,1.891011991E1,1.450697184E0,1.606468506E2,4.794241905E0,4.794241905E0
9.219023176E1,3.211542295E1,1.189499530E2,1.897028021E1,1.561217308E0,1.536116180E2,4.846116066E0,4.846116066E0
9.319393957E1,3.211540758E1,1.189499627E2,1.903473764E1,1.620575786E0,1.462421722E2,4.906575680E0,4.906575680E0
9.420062134E1,3.211539438E1,1.189499750E2,1.906369268E1,1.614370108E0,1.346436920E2,4.990846157E0,4.990846157E0
9.518800832E1,3.211538215E1,1.189499902E2,1.903065725E1,1.608727217E0,1.356797791E2,4.852250099E0,4.852250099E0
9.618882290E1,3.211537166E1,1.189500046E2,1.917388162E1,1.605841279E0,1.342442932E2,4.657634258E0,4.657634258E0
9.718776144E1,3.211536193E1,1.189500189E2,1.912130517E1,1.577410817E0,1.358442535E2,4.506999016E0,4.506999016E0
9.819048019E1,3.211535480E1,1.189500307E2,1.914861350E1,1.516887426E0,1.413050079E2,4.190062523E0,4.190062523E0
9.918728957E1,3.211534699E1,1.189500370E2,1.932304349E1,1.314437866E0,1.481360168E2,3.910378933E0,3.910378933E0
1.001816182E2,3.211533786E1,1.189500452E2,1.951487043E1,1.372155786E0,1.472702179E2,4.054063320E0,4.054063320E0
1.011892375E2,3.211532803E1,1.189500525E2,1.958306547E1,1.388809800E0,1.508479919E2,4.155544758E0,4.155544758E0
1.021905234E2,3.211531714E1,1.189500582E2,1.965392321E1,1.406772852E0,1.569210052E2,4.134802818E0,4.134802818E0
1.031825422E2,3.211530459E1,1.189500601E2,1.969135063E1,1.424603581E0,1.663826447E2,4.204248428E0,4.204248428E0
1.041874760E2,3.211529314E1,1.189500636E2,1.975544755E1,1.423214555E0,1.644036102E2,4.225455284E0,4.225455284E0
1.051850120E2,3.211528617E1,1.189500688E2,1.970433688E1,1.280342460E0,1.587142029E2,3.963263273E0,3.963263273E0
1.061992656E2,3.211527874E1,1.189500753E2,1.956064992E1,1.382903337E0,1.621420593E2,3.947464466E0,3.947464466E0
1.071874666E2,3.211526956E1,1.189500808E2,1.941709399E1,1.358318090E0,1.681914215E2,4.069386005E0,4.069386005E0
1.081897474E2,3.211525982E1,1.189500848E2,1.939566667E1,1.289265156E0,1.705944519E2,4.010769844E0,4.010769844E0
1.091885890E2,3.211524844E1,1.189500893E2,1.946699637E1,1.334912181E0,1.694900818E2,3.901980877E0,3.901980877E0
1.102055036E2,3.211523590E1,1.189500922E2,1.949887537E1,1.261868238E0,1.737242279E2,3.930022478E0,3.930022478E0
1.112040010E2,3.211522217E1,1.189500952E2,1.957210117E1,1.281761646E0,1.675105591E2,3.759501696E0,3.759501696E0
1.121891771E2,3.211520814E1,1.189500989E2,1.939860131E1,1.371663094E0,1.675365753E2,3.509501934E0,3.509501934E0
1.131915276E2,3.211519438E1,1.189501025E2,1.926358301E1,1.307192683E0,1.722607727E2,3.395887375E0,3.395887375E0
1.142029057E2,3.211518238E1,1.189501079E2,1.917131654E1,1.237941504E0,1.582057648E2,3.479652405E0,3.479652405E0
1.151975177E2,3.211516972E1,1.189501192E2,1.905477592E1,1.066277266E0,1.592558441E2,3.573664188E0,3.573664188E0
1.161959026E2,3.211515835E1,1.189501245E2,1.918031165E1,1.023802400E0,1.636131744E2,3.726724148E0,3.726724148E0
1.172034640E2,3.211514608E1,1.189501338E2,1.921845898E1,1.437036514E0,1.771594543E2,3.887368679E0,3.887368679E0
1.181885693E2,3.211513296E1,1.189501392E2,1.921397337E1,1.468054414E0,1.745665588E2,4.135157108E0,4.135157108E0
1.191894364E2,3.211511921E1,1.189501453E2,1.910626304E1,1.440698504E0,1.669012604E2,4.328997135E0,4.328997135E0
1.202024562E2,3.211510378E1,1.189501542E2,1.897731894E1,1.444843411E0,1.552517090E2,4.523941994E0,4.523941994E0
1.212029640E2,3.211508795E1,1.189501641E2,1.906722453E1,1.474738955E0,1.596313934E2,4.685608864E0,4.685608864E0
1.221998765E2,3.211506987E1,1.189501773E2,1.894240915E1,1.518308640E0,1.694997864E2,4.804392338E0,4.804392338E0
1.232087672E2,3.211505376E1,1.189501830E2,1.919729019E1,1.508156538E0,1.670728302E2,4.711657524E0,4.711657524E0
