"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.663998438E0,2.252699852E0,3.136499882E0,1.249599934E0
4.683998438E0,1.777699947E0,2.379099846E0,-2.230999947E0
4.703998438E0,1.354300022E0,2.129999995E-1,-7.767699718E0
4.723998438E0,3.684999943E-1,-3.033599854E0,-1.269569969E1
4.743998438E0,-1.065699935E0,-4.863599777E0,-1.011749935E1
4.763998438E0,-2.703199863E0,-2.158900023E0,-6.834300041E0
4.783998438E0,-3.899899960E0,5.444999933E-1,-4.789499760E0
4.803998438E0,-6.102599621E0,-1.060299993E0,-3.878099918E0
4.823998438E0,-7.977399826E0,-3.134399891E0,5.379699707E0
4.844000000E0,-6.369499683E0,-1.177399993E0,9.280200005E0
4.864000000E0,-3.052799940E0,3.916299820E0,4.940299988E0
4.884000000E0,-1.782999992E0,4.126999855E0,6.560400009E0
4.904000000E0,-1.349799991E0,-6.595999599E-1,5.683599949E0
4.924000000E0,-2.241699934E0,-4.478199959E0,4.989399910E0
4.953998438E0,-9.050999880E-1,-5.360099792E0,2.652299881E0
4.974000000E0,-1.052999943E-1,-3.354799986E0,3.218799829E0
4.994000000E0,2.983000040E0,-1.102800012E0,5.238599777E0
5.014000000E0,5.273900032E0,1.827999949E-1,1.087999940E-1
5.043998438E0,2.292999983E0,1.384499907E0,1.444299936E0
5.064000000E0,1.769599915E0,9.538999796E-1,1.628999949E0
5.093998438E0,5.947999954E-1,1.605499983E0,-1.410099983E0
5.113998438E0,9.799999744E-2,1.599699974E0,-2.043699980E0
5.134000000E0,-7.930000126E-2,1.696200013E0,-1.528299928E0
5.163998438E0,1.454999894E-1,2.009299994E0,1.943999976E-1
5.183998438E0,-8.630000055E-2,2.433099985E0,9.538999796E-1
5.204000000E0,-2.953000069E-1,1.867399931E0,1.528199911E0
5.233998438E0,-8.477999568E-1,-6.216999888E-1,9.448999763E-1
5.253998438E0,-1.181499958E0,-9.933999777E-1,-7.317000031E-1
5.274000000E0,-7.875999808E-1,-4.116999805E-1,-3.253899813E0
5.303998438E0,3.273099899E0,-3.578699827E0,-8.850799561E0
5.323998438E0,4.191199780E0,-4.071099758E0,-3.943499804E0
5.343998438E0,3.592299938E0,-2.488999844E0,-1.237900019E0
5.363998438E0,3.224299908E0,-1.513399959E0,-1.586399913E0
5.383998438E0,3.101300001E0,-3.184199810E0,-3.993599892E0
5.403998438E0,2.463299990E0,-4.860799789E0,-7.505699635E0
5.423998438E0,1.400599957E0,-4.009299755E0,-5.177299976E0
5.443998438E0,3.093999922E-1,-3.162599802E0,-2.587800026E0
5.463998438E0,-1.164199948E0,-2.497699976E0,-3.343099833E0
5.484000000E0,-2.680199862E0,-3.266599894E0,-1.774199963E0
5.504000000E0,-2.423099995E0,-3.833199978E0,1.599900007E0
5.533998438E0,-4.080699921E0,-3.871299982E0,2.463999987E0
5.553998438E0,-5.695600033E0,-3.154699802E0,2.520999908E0
5.573998438E0,-7.586699963E0,-2.353099823E0,-2.502999902E-1
5.593998438E0,-5.895099640E0,-1.036899924E0,1.474799991E0
5.613998438E0,-4.633899689E0,4.562999904E-1,2.664499998E0
5.633998438E0,-3.215199947E0,1.093899965E0,2.335999966E0
5.653998438E0,-2.288199902E0,1.910399914E0,3.033900023E0
5.673998438E0,-1.195099950E0,2.181200027E0,4.901799679E0
5.693998438E0,5.659999698E-2,1.588299990E0,5.642699718E0
5.713998438E0,5.062999725E-1,1.220399976E0,5.157799721E0
5.733998438E0,4.106999934E-1,1.326799989E0,5.610300064E0
5.754000000E0,2.048999965E-1,2.560099840E0,6.055399895E0
5.774000000E0,-2.811999917E-1,4.468499660E0,6.005599976E0
5.804000000E0,-3.630999923E-1,5.714799881E0,5.391099930E0
5.833998438E0,5.399999619E-1,5.201399803E0,4.344099998E0
5.853998438E0,9.413999915E-1,2.484299898E0,-1.673000008E-1
5.873998438E0,4.705999792E-1,-2.166800022E0,-1.303969955E1
5.893998438E0,1.674699903E0,-1.115460014E1,-2.510239983E1
5.914000000E0,1.935699940E0,-9.439999580E0,-6.091000080E0
