"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.821512417E0,-3.252586212E0,2.110610962E-2,1.418689819E1
3.841597417E0,-3.724105682E0,3.423381042E-1,1.519145920E1
3.861681417E0,-2.431094513E0,-2.950364685E-1,1.597313370E1
3.881766417E0,-1.901495819E0,-7.134164429E-1,1.686198532E1
3.901850417E0,-2.543061676E0,-4.011657715E-2,1.555580154E1
3.921935417E0,-2.502346344E0,4.649331665E-1,1.295211594E1
3.942019417E0,-1.727258148E0,-3.757186890E-2,1.244811401E1
3.962104417E0,-1.892664185E0,-1.379680939E0,1.491992386E1
3.982188417E0,-2.834804993E0,-2.513273621E0,1.472083786E1
4.002273417E0,-3.258573761E0,-1.998194733E0,1.132679581E1
4.022357417E0,-2.930456085E0,-1.202150116E0,8.400980072E0
4.042442417E0,-2.168690186E0,-4.796026611E-1,7.353907471E0
4.062526417E0,-1.231788483E0,-2.921923828E-1,7.390132141E0
4.082611417E0,-7.927514648E-1,-7.679031372E-1,7.656877441E0
4.102695417E0,-6.077362061E-1,-1.094224548E0,7.809559937E0
4.122779417E0,-5.324427795E-1,-1.189725952E0,7.635921021E0
4.142864417E0,-4.607418823E-1,-1.127305756E0,7.698041840E0
4.162948417E0,1.302291870E-2,-6.146218872E-1,7.205865326E0
4.183033417E0,5.924679565E-1,9.190887451E-2,6.573280792E0
4.203117917E0,5.993536377E-1,1.745370483E-1,6.826254730E0
4.223202917E0,8.663983154E-1,8.053253174E-2,6.700216827E0
4.243286917E0,1.130898285E0,8.027806091E-1,6.096073151E0
4.263371917E0,1.490001526E0,1.524280243E0,5.566474457E0
4.283455917E0,2.164798279E0,2.184257813E0,6.014193420E0
4.303540917E0,2.932851105E0,2.630030823E0,7.294481049E0
4.323624917E0,3.078049164E0,2.997217255E0,8.481512604E0
4.343709917E0,3.425027618E0,2.875220947E0,9.273815002E0
4.363793917E0,4.041296082E0,3.001857605E0,9.941277008E0
4.383878917E0,4.079317017E0,2.922971649E0,1.053254745E1
4.403962917E0,3.232677612E0,2.378254395E0,1.126841721E1
4.424046917E0,2.686613159E0,2.240540771E0,1.253223907E1
4.444131917E0,2.898422699E0,2.448009338E0,1.236548584E1
4.464215917E0,3.382366333E0,2.424807587E0,1.147693359E1
4.484300917E0,2.819237366E0,9.449848938E-1,1.372346191E1
4.504384917E0,2.317929840E0,-5.520520020E-1,1.563438812E1
4.524469917E0,2.413431244E0,-6.252497864E-1,1.503219040E1
4.544553917E0,2.659669189E0,-5.541476440E-1,1.377959518E1
4.564638917E0,2.759062500E0,-5.608836365E-1,1.186462738E1
4.584722917E0,2.677332458E0,-6.503974915E-1,1.078118042E1
4.604807917E0,2.754422150E0,-4.402345276E-1,1.051563263E1
4.624891917E0,2.642155609E0,-5.613327026E-2,9.893376617E0
4.644976917E0,2.224973145E0,3.978726196E-1,8.406219177E0
4.665060917E0,1.605411530E0,6.584806824E-1,6.791676636E0
4.685144917E0,1.048719177E0,8.174501038E-1,5.432203674E0
4.705229917E0,4.456233215E-1,9.042695618E-1,4.369264069E0
4.725313917E0,-1.544787598E-1,9.160949707E-1,3.803440704E0
4.745398917E0,-5.575904846E-1,8.457412720E-1,3.658841400E0
4.765482917E0,-9.325607300E-1,8.509803772E-1,4.032614136E0
4.785567917E0,-9.687854004E-1,7.976911926E-1,5.035977631E0
4.805651917E0,-1.149759064E0,8.466394043E-1,6.747967529E0
4.825736917E0,-1.898502045E0,7.430548096E-1,8.501121826E0
4.845820917E0,-2.690654755E0,6.438111877E-1,9.845775604E0
4.865905917E0,-2.741848297E0,1.105301514E0,1.089464447E1
4.885989917E0,-2.304308167E0,1.361568604E0,1.205054077E1
4.906074917E0,-2.103126526E0,1.226848755E0,1.263163239E1
4.926158917E0,-3.186124420E0,3.582051086E-1,1.381776581E1
4.946242917E0,-4.281845856E0,2.633024597E-1,1.478221024E1
4.966327917E0,-3.716471558E0,1.244811401E0,1.394395340E1
4.986411917E0,-2.407892761E0,1.112935638E0,1.433853287E1
5.006496917E0,-2.176174622E0,-2.890489197E-1,1.734712646E1
5.026580917E0,-2.724933472E0,-1.608255615E0,1.807027267E1
5.046665917E0,-3.020868073E0,-1.142873383E0,1.429452438E1
5.066749917E0,-2.290237427E0,-5.182223511E-1,1.162961609E1
5.086834917E0,-1.221609650E0,6.960525513E-2,1.039543259E1
5.106918917E0,-2.906954956E-1,2.860551453E-1,9.699380035E0
5.127003917E0,4.463717651E-1,1.065783691E-1,9.743238831E0
5.147087917E0,8.954379272E-1,-6.107299805E-2,9.715696106E0
5.167172917E0,1.003064117E0,4.026626587E-2,8.853638763E0
5.187256167E0,1.012793884E0,2.532733154E-1,7.826175385E0
5.207340167E0,9.190887451E-1,5.536985779E-1,6.928941193E0
5.227425167E0,7.985893250E-1,9.165440369E-1,5.920338593E0
5.247509167E0,8.367599487E-1,1.227746887E0,4.782554626E0
5.267594167E0,1.178948364E0,1.624122620E0,4.108656006E0
5.287678167E0,1.677561493E0,1.810185699E0,4.139940948E0
5.307763167E0,1.735341339E0,1.673220520E0,4.911586304E0
5.327847167E0,1.453776855E0,1.084943848E0,6.306236115E0
5.347932167E0,1.559157715E0,1.338217163E-1,8.810079346E0
5.368016167E0,2.304457855E0,-2.134561157E-1,1.103250778E1
5.388101167E0,3.236270142E0,-4.219725037E-1,1.230097000E1
5.408185167E0,3.517385559E0,-8.348139954E-1,1.287742126E1
5.428269167E0,2.674188995E0,-3.760180664E-1,1.122216339E1
5.448354167E0,2.172731781E0,3.186872864E-1,9.998757477E0
5.468438167E0,2.400558014E0,1.045725403E0,9.113947449E0
5.488523167E0,2.617906036E0,1.586700439E0,8.104446716E0
5.508607167E0,1.621577911E0,1.096469879E0,7.984096985E0
5.528692167E0,4.436773682E-1,-3.935316467E-1,1.012105316E1
5.548776167E0,-1.286275177E0,-2.095791779E0,1.259974869E1
5.568861167E0,-9.472302246E-1,-2.771187286E0,1.504386612E1
5.588945167E0,1.165775757E0,-2.421813812E0,1.693099182E1
5.609030167E0,2.974614258E0,-1.737586670E0,1.741688141E1
5.629114167E0,3.371139679E0,-1.048719177E0,1.603330856E1
5.649198167E0,3.327580261E0,-1.357676697E-1,1.377914612E1
5.669283167E0,3.092269592E0,7.116201782E-1,1.152453461E1
5.689367167E0,2.681823120E0,1.431922302E0,8.843010864E0
5.709452167E0,2.154918823E0,1.895208893E0,6.314768372E0
5.729536167E0,1.544188843E0,2.164049835E0,4.256698151E0
5.749621167E0,9.246272278E-1,2.291285248E0,2.971021729E0
