"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.954003125E0,4.804300964E-1,-6.544215083E-1,1.007613182E1
2.976001563E0,-2.399851978E-1,-7.263050228E-2,9.536565781E0
2.998000000E0,-9.868420362E-1,5.229607224E-1,9.369468689E0
3.018001563E0,-7.496820092E-1,1.206754327E0,9.701478004E0
3.038001563E0,-4.271064103E-1,1.227047443E0,1.028465748E1
3.060001563E0,-3.458855152E-1,6.129443645E-1,1.048562717E1
3.082000000E0,-2.886162400E-1,6.163440943E-1,1.137404823E1
3.102001563E0,-7.841489464E-2,6.479475498E-1,1.078675938E1
3.124001563E0,4.458673894E-1,7.514632940E-1,9.066209793E0
3.144012500E0,4.866358638E-1,1.129479051E0,8.241464615E0
3.166000000E0,8.425770402E-1,1.169318438E0,8.229149818E0
3.186000000E0,3.266935945E-1,1.789828658E0,8.604990959E0
3.206000000E0,2.098086923E-1,1.846073151E0,8.793998718E0
3.226000000E0,1.347361058E-1,1.757640839E0,9.177300453E0
3.246000000E0,1.201985031E-1,1.510798693E0,9.759034157E0
3.266000000E0,3.292793632E-1,1.310270071E0,1.004994965E1
3.286001563E0,3.580672443E-1,1.142369390E0,9.747418404E0
3.306001563E0,4.024748802E-1,1.103899360E0,9.704475403E0
3.328001563E0,6.189490557E-1,8.792274594E-1,1.064011002E1
3.350001563E0,9.982959032E-1,3.561423123E-1,1.096214008E1
3.372001563E0,1.711193323E0,3.294996023E-1,1.020872307E1
3.394001563E0,1.977629781E0,3.634876907E-1,9.802407265E0
3.414014063E0,2.074642897E0,6.076675653E-1,9.770411491E0
3.436001563E0,1.898247600E0,7.576307654E-1,9.904342651E0
3.456001563E0,2.282851934E0,7.028706074E-1,1.021530151E1
3.476012500E0,2.941219330E0,4.229022264E-1,9.787898064E0
3.498000000E0,3.357302666E0,5.579447746E-1,8.475234032E0
3.518000000E0,3.594970465E0,6.984077692E-1,8.189491272E0
3.538001563E0,3.479646444E0,6.507152915E-1,8.482082367E0
3.560001563E0,3.446884394E0,-1.682644933E-1,9.155092239E0
3.582000000E0,2.423372507E0,6.707020998E-1,9.356071472E0
3.602001563E0,2.202684879E0,8.934011459E-1,9.375397682E0
3.624001563E0,1.884504914E0,7.846948504E-1,9.834805489E0
3.644001563E0,1.979947329E0,1.050613999E0,9.381889343E0
3.664001563E0,2.009099007E0,1.608319283E0,8.763266563E0
3.686000000E0,1.880473018E0,2.020227432E0,8.439522743E0
3.706001563E0,2.078923702E0,1.574178100E0,9.038714409E0
3.726001563E0,2.090502024E0,1.650016665E0,8.561090469E0
3.746001563E0,2.050231457E0,1.721545935E0,9.022386551E0
3.768001563E0,1.786265969E0,1.619945526E0,9.423318863E0
3.788001563E0,1.458021045E0,1.440093160E0,9.863594055E0
3.810000000E0,1.265124917E0,1.100538015E0,1.050814152E1
3.830000000E0,1.050278783E0,8.742762208E-1,1.112524223E1
3.850001563E0,9.163854718E-1,7.636832595E-1,1.115537071E1
3.872001563E0,9.595193863E-1,8.610603213E-1,1.052203846E1
3.894010938E0,8.648239970E-1,9.621338844E-1,9.983121872E0
3.916018750E0,7.701380849E-1,1.226817608E0,9.560717583E0
3.938000000E0,7.113364935E-1,1.631504774E0,9.177453995E0
3.958001563E0,5.998815894E-1,1.805783510E0,9.082921028E0
3.978001563E0,3.951007426E-1,1.714727283E0,9.701544762E0
4.000000000E0,3.748840988E-1,1.452092886E0,1.049230194E1
4.020000000E0,2.868923843E-1,1.472280741E0,1.099643421E1
4.040000000E0,3.369790912E-1,1.596118569E0,1.134774017E1
4.060001563E0,5.559527874E-1,1.702871203E0,1.145476055E1
4.082000000E0,3.190321624E-1,1.641809464E0,1.141241169E1
4.102001563E0,-1.650466919E-1,1.343702674E0,1.174901867E1
4.124018750E0,-2.402150482E-1,4.315787852E-1,1.256205082E1
4.146001563E0,2.784935236E-1,-9.028151035E-1,1.271797085E1
4.168000000E0,8.989652991E-1,-1.916433930E0,1.205764103E1
4.188001563E0,8.511482477E-1,-2.160815001E0,1.086721516E1
4.210001563E0,3.523307145E-1,-1.693648696E0,9.524555206E0
4.232001563E0,-2.982792258E-1,-9.160790443E-1,8.859571457E0
4.254009375E0,-9.421758652E-1,-3.113515675E-1,8.629200935E0
4.274010938E0,-1.104703903E0,7.453628629E-2,8.647051811E0
4.294015625E0,-8.578233123E-1,2.670780122E-1,8.760767937E0
4.316020313E0,-3.087083697E-1,3.279864788E-1,8.685062408E0
4.338000000E0,1.001638249E-1,4.034038484E-1,8.398199081E0
4.358000000E0,2.682463825E-1,5.457342863E-1,8.352756500E0
4.378000000E0,3.057395518E-1,6.054457426E-1,8.542837143E0
4.398001563E0,3.035560250E-1,6.209601164E-1,8.624441147E0
4.418001563E0,3.708714247E-1,7.613177896E-1,8.435778618E0
4.438001563E0,4.007414877E-1,9.401455522E-1,8.263117790E0
4.458001563E0,4.456375539E-1,1.048171878E0,8.071294785E0
4.478017188E0,5.577819943E-1,1.182352543E0,8.086129189E0
4.500001563E0,6.035974026E-1,1.329586387E0,8.253579140E0
4.522001563E0,5.137286186E-1,1.382383347E0,8.581019402E0
4.544006250E0,3.197216988E-1,1.324960828E0,9.151548386E0
4.564006250E0,9.081685543E-2,1.402063727E0,9.459864616E0
4.586001563E0,-8.937075734E-2,1.490898013E0,9.855300903E0
4.608001563E0,-1.021174937E-1,1.319463730E0,1.046870422E1
4.630001563E0,-2.456450909E-1,9.943502545E-1,1.118370914E1
4.652000000E0,-4.105002582E-1,8.143829107E-1,1.203870678E1
4.672001563E0,-4.925351590E-2,2.613031566E-1,1.305686569E1
4.694007813E0,9.924731851E-1,-7.361882925E-1,1.337165546E1
4.716020313E0,1.453031540E0,-1.168073654E0,1.229363155E1
4.738000000E0,3.887608945E-1,-1.065946579E0,1.185148048E1
4.758001563E0,-5.817909911E-2,-4.393743277E-1,1.212501240E1
4.780001563E0,5.806896687E-1,1.432690322E-1,1.129612064E1
4.802001563E0,1.554124236E0,7.890618443E-1,8.559682846E0
4.822001563E0,2.043125391E0,1.710379362E0,6.073754311E0
4.844001563E0,1.478113055E0,2.492373466E0,5.820677757E0
4.864001563E0,2.344306558E-1,1.882685304E0,8.757942200E0
4.884001563E0,-2.614468150E-2,7.565102577E-1,1.151348591E1
4.904001563E0,2.188970745E-1,-6.456204057E-1,1.275557899E1
4.924001563E0,8.040016294E-1,-1.692097306E0,1.230720234E1
4.944001563E0,1.273705721E0,-1.908370256E0,1.099506474E1
4.964001563E0,1.224614978E0,-1.328963876E0,9.697685242E0
4.984001563E0,7.429686785E-1,-3.783221841E-1,8.551581383E0
5.004001563E0,2.446108013E-1,4.121474624E-1,7.795530319E0
5.024001563E0,-1.320833117E-1,9.261347055E-1,7.378355026E0
5.044001563E0,-5.570253730E-1,1.257358193E0,7.427101135E0
5.064001563E0,-8.827804327E-1,1.344143152E0,7.868821621E0
5.084001563E0,-9.134645462E-1,1.247273684E0,8.439665794E0
5.106001563E0,-7.690367699E-1,1.084362626E0,8.651725769E0
5.126001563E0,-6.780092120E-1,1.019135118E0,8.809963226E0
5.146001563E0,-8.133103251E-1,1.056992173E0,9.304480553E0
5.168001563E0,-8.624968529E-1,1.158793569E0,1.021924782E1
5.188001563E0,-7.695538998E-1,1.202004194E0,1.053864384E1
5.210001563E0,-8.204929233E-1,1.301689267E0,1.057419300E1
5.232000000E0,-8.723704815E-1,1.368889689E0,1.066270256E1
5.252000000E0,-6.932746172E-1,1.590678811E0,1.038872814E1
5.272000000E0,-4.784572721E-1,1.880664587E0,9.593029976E0
5.292000000E0,-3.761865497E-1,2.101726055E0,9.082537651E0
5.312001563E0,-4.253634512E-1,2.207118988E0,9.614213943E0
5.334009375E0,-9.045868516E-1,1.770416379E0,1.078448009E1
5.356000000E0,-1.485257387E0,1.011626840E0,1.203324795E1
5.376001563E0,-1.773615003E0,4.733528495E-1,1.327982330E1
5.396001563E0,-1.287869930E0,4.426399991E-2,1.251011562E1
5.416018750E0,-4.011150002E-1,1.025484502E-1,9.809561729E0
5.438000000E0,1.130254716E-1,4.243387580E-1,7.554577827E0
5.458001563E0,-5.492969155E-1,5.188905597E-1,7.853834152E0
5.478001563E0,-1.752239585E0,2.364034802E-1,1.018722248E1
5.500000000E0,-2.178781033E0,-1.182065308E-1,1.189945030E1
5.520000000E0,-1.462617755E0,-2.933663428E-1,1.151732635E1
5.540000000E0,-3.317214251E-1,-1.361821964E-2,1.018749142E1
5.560001563E0,5.240907669E-1,2.422740608E-1,9.089750290E0
5.580001563E0,1.085004330E0,6.056085229E-1,8.102869034E0
5.600001563E0,1.512417197E0,1.034036636E0,7.174732685E0
5.622000000E0,1.729619145E0,1.452590942E0,6.508599281E0
5.642000000E0,1.736093163E0,1.647756577E0,6.415158272E0
5.662001563E0,1.487488747E0,1.655111670E0,6.979193687E0
5.684001563E0,1.167575598E0,1.462139010E0,7.549252987E0
5.704001563E0,9.645376801E-1,1.269175887E0,7.405514717E0
5.724001563E0,2.513337135E-1,1.329806685E0,8.154392242E0
5.744004688E0,-3.292314708E-1,1.298318148E0,1.032999420E1
5.766001563E0,-2.587461472E-1,1.030205846E0,1.225397491E1
5.788000000E0,-1.692892164E-1,8.611369133E-1,1.246058369E1
5.808000000E0,-6.118429899E-1,8.221784830E-1,1.311273670E1
5.828001563E0,-9.633884430E-1,7.317159176E-1,1.408160210E1
5.850001563E0,-8.336993456E-1,8.484572172E-1,1.420066071E1
5.872000000E0,-5.578393936E-1,1.387621880E0,1.331243134E1
5.892001563E0,8.580818772E-2,1.572942615E0,1.169029331E1
5.914007813E0,5.628384948E-1,1.088902116E0,1.103045082E1
5.936001563E0,1.192331553E0,-1.639740914E-1,1.347364712E1
5.956001563E0,2.314522743E0,-1.447065115E0,1.253439236E1
5.976001563E0,3.198538542E0,-1.459763885E0,9.444627762E0
5.998000000E0,2.775444746E0,2.710714936E-1,7.808918476E0
6.018003125E0,1.716317058E0,1.202521324E0,8.159678459E0
6.040000000E0,9.879433513E-1,1.086680293E0,9.661800385E0
6.060000000E0,6.998730302E-1,5.351519585E-1,9.825448990E0
6.080001563E0,4.518624842E-1,2.301019430E-1,9.892419815E0
6.102000000E0,1.728996783E-1,2.623757720E-1,1.007966614E1
6.122000000E0,4.231703579E-1,2.341720760E-1,9.177874565E0
6.142000000E0,6.788136363E-1,2.353308648E-1,7.598860741E0
6.162001563E0,6.933416724E-1,7.816685438E-1,5.980055332E0
6.184000000E0,6.481199861E-1,8.763639927E-1,5.666854858E0
6.204001563E0,5.251442194E-1,4.121187031E-1,6.254966736E0
6.224004688E0,-3.514688089E-2,5.587396026E-1,6.549693108E0
6.246001563E0,-5.779985785E-1,1.087877274E0,7.066313744E0
6.268000000E0,-6.535021067E-1,1.278982520E0,7.573472500E0
6.288043750E0,-5.900749564E-1,1.352427125E0,8.403005600E0
6.310000000E0,-3.819134831E-1,1.406938195E0,9.156404495E0
6.330000000E0,-2.848621309E-1,1.879994273E0,9.336926460E0
6.350001563E0,1.318534762E-1,2.113649130E0,9.151567459E0
6.372000000E0,3.316927254E-1,1.759470105E0,1.039463806E1
6.392000000E0,7.625053078E-2,1.607534051E0,1.201501369E1
6.412001563E0,-2.703915834E-1,1.907412648E0,1.209324741E1
6.432001563E0,-4.784285426E-1,2.188367367E0,1.279205704E1
6.454007813E0,-5.272989869E-1,2.139334202E0,1.384896278E1
6.476006250E0,-5.693698525E-1,1.486827970E0,1.414413929E1
6.498001563E0,3.596282303E-1,-3.231022954E-1,1.373179054E1
6.518001563E0,1.493924379E0,-1.478122711E0,1.085078049E1
6.538001563E0,1.137628913E0,-1.637020946E0,9.824281693E0
6.558001563E0,2.917765677E-1,-1.949933648E0,1.122658443E1
6.580000000E0,-3.293655515E-1,-3.120047092E0,1.254284954E1
6.600000000E0,-4.557985663E-1,-3.612400055E0,1.443225765E1
6.620000000E0,1.486703455E-1,-3.397228479E0,1.410971928E1
6.640001563E0,5.234778523E-1,-2.299228430E0,1.097081661E1
6.662001563E0,2.479339391E-1,-6.311786175E-1,7.935657978E0
6.682001563E0,-1.466879398E-1,7.576403022E-1,6.667966843E0
6.704001563E0,-8.240842074E-2,1.475508213E0,6.397316456E0
6.724001563E0,4.497651756E-1,1.442190409E0,6.055711746E0
6.744001563E0,7.451521754E-1,1.661240816E0,5.449251175E0
6.764001563E0,6.374993324E-1,2.243299961E0,4.562065125E0
6.784003125E0,5.142074823E-1,2.809883118E0,4.112319469E0
6.806001563E0,9.035238624E-1,2.243941545E0,4.638545513E0
6.828001563E0,1.160680294E0,1.100068569E0,5.656655788E0
6.850000000E0,1.118973255E0,5.657402873E-1,7.040935516E0
6.870000000E0,1.286768436E0,1.518594176E-1,9.195266724E0
6.890000000E0,1.633755326E0,-2.045605928E-1,1.194860840E1
6.910000000E0,1.621133208E0,-1.472721398E-1,1.406984234E1
6.930001563E0,1.592632532E0,2.672982514E-1,1.440360355E1
6.952001563E0,1.776047587E0,9.000953436E-1,1.385642242E1
6.974001563E0,9.967731833E-1,4.790318757E-2,1.459294605E1
6.994001563E0,1.469570518E0,-1.822667480E0,1.745481300E1
7.014021875E0,3.010344744E0,-3.106045723E0,1.845378876E1
7.036001563E0,4.118687630E0,-2.567695141E0,1.240802765E1
7.056001563E0,3.577378035E0,-5.782092810E-1,8.191377640E0
7.076007813E0,2.540363073E0,4.880819619E-1,8.224360466E0
7.098001563E0,2.239516973E0,-2.109387517E-1,9.879415512E0
7.118001563E0,2.433380365E0,-1.057672143E0,9.766973495E0
7.140001563E0,2.244631052E0,-1.335083485E0,8.750472069E0
7.162001563E0,1.634090543E0,-1.132821321E0,7.938607693E0
7.184000000E0,1.022391200E0,-5.608848333E-1,7.131857395E0
7.204001563E0,6.527264118E-1,-1.560157686E-1,6.398063660E0
7.226001563E0,1.452035457E-1,1.651328802E-1,5.879335880E0
7.246001563E0,-3.414993584E-1,1.384806186E-1,6.614767551E0
7.266001563E0,-9.880870581E-1,-9.898588061E-2,7.882937908E0
7.286043750E0,-1.319109321E0,-5.513846278E-1,9.898577690E0
7.308000000E0,-1.082562208E0,-9.769300818E-1,1.221545601E1
7.328001563E0,-2.732071579E-1,-1.019537330E0,1.232761002E1
7.350001563E0,-3.711970150E-2,-6.585970521E-2,1.055537415E1
7.370001563E0,-3.428879976E-1,1.540630460E0,1.003969193E1
7.390001563E0,-2.303796709E-1,2.434242487E0,9.769463539E0
7.412000000E0,5.991728902E-1,2.239516973E0,1.046428871E1
7.432000000E0,1.327086806E0,1.430161953E0,1.128229237E1
7.452001563E0,1.584827423E0,7.575924397E-1,1.187381363E1
7.474001563E0,6.531286836E-1,3.028952479E-1,1.288175297E1
7.494015625E0,5.486648679E-1,-7.186435461E-1,1.354302216E1
7.516018750E0,1.429089427E0,-2.239928961E0,1.302046394E1
7.538001563E0,8.896470070E-1,-2.950345993E0,1.128869915E1
7.558001563E0,-9.609655142E-1,-3.025907040E0,1.157644463E1
7.578001563E0,-1.927648425E0,-2.497133255E0,1.303891754E1
7.600000000E0,-1.580335975E0,-1.711298704E0,1.257454872E1
7.620000000E0,-8.765459657E-1,-1.195942044E0,9.917721748E0
7.640001563E0,-5.152130723E-1,-2.583343387E-1,8.016994476E0
7.662001563E0,-2.524925172E-1,6.161525846E-1,6.966514111E0
7.684001563E0,5.915593728E-2,1.021079183E0,6.370625973E0
7.704001563E0,2.323333323E-1,1.264933348E0,5.726039886E0
7.726001563E0,3.592738807E-1,1.482776999E0,5.076071262E0
7.748001563E0,4.923245013E-1,1.509774089E0,4.627714157E0
7.768001563E0,3.166954219E-1,1.662169814E0,5.363193989E0
7.790001563E0,4.342698753E-1,1.736064315E0,7.062885284E0
7.812001563E0,8.318318725E-1,1.855745673E0,8.778110504E0
7.834003125E0,5.657306910E-1,1.909797192E0,9.625811577E0
