"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.216461562E0,-5.250000000E0,4.487500000E1,-1.550000000E1
3.246460000E0,-7.687500000E0,4.400000000E1,-1.725000000E1
3.266460000E0,-9.750000000E0,4.331250000E1,-1.775000000E1
3.286461562E0,-1.075000000E1,4.243750000E1,-1.831250000E1
3.316461562E0,-1.150000000E1,4.143750000E1,-1.812500000E1
3.346460000E0,-1.225000000E1,4.075000000E1,-1.775000000E1
3.366460000E0,-1.300000000E1,3.962500000E1,-1.725000000E1
3.386460000E0,-1.412500000E1,3.843750000E1,-1.725000000E1
3.406460000E0,-1.525000000E1,3.700000000E1,-1.762500000E1
3.426461562E0,-1.600000000E1,3.575000000E1,-1.787500000E1
3.456460000E0,-1.737500000E1,3.475000000E1,-1.687500000E1
3.476460000E0,-1.800000000E1,3.443750000E1,-1.650000000E1
3.496461562E0,-1.862500000E1,3.393750000E1,-1.675000000E1
3.526460000E0,-1.943750000E1,3.331250000E1,-1.787500000E1
3.546460000E0,-2.068750000E1,3.325000000E1,-1.800000000E1
3.566461562E0,-2.181250000E1,3.331250000E1,-1.787500000E1
3.596460000E0,-2.243750000E1,3.400000000E1,-1.787500000E1
3.616460000E0,-2.262500000E1,3.456250000E1,-1.887500000E1
3.636461562E0,-2.218750000E1,3.487500000E1,-2.031250000E1
3.666460000E0,-2.175000000E1,3.506250000E1,-2.256250000E1
3.686460000E0,-2.156250000E1,3.512500000E1,-2.393750000E1
3.706461562E0,-2.118750000E1,3.481250000E1,-2.556250000E1
3.736460000E0,-2.118750000E1,3.293750000E1,-2.875000000E1
3.756460000E0,-2.218750000E1,3.100000000E1,-3.050000000E1
3.776461562E0,-2.375000000E1,2.912500000E1,-3.137500000E1
3.796461562E0,-2.581250000E1,2.787500000E1,-3.075000000E1
3.826460000E0,-2.893750000E1,2.787500000E1,-2.787500000E1
3.846460000E0,-3.043750000E1,2.837500000E1,-2.550000000E1
3.866461562E0,-3.031250000E1,2.931250000E1,-2.431250000E1
3.896460000E0,-2.556250000E1,3.131250000E1,-2.662500000E1
3.916460000E0,-2.231250000E1,3.343750000E1,-2.706250000E1
3.936461562E0,-1.975000000E1,3.562500000E1,-2.643750000E1
3.966460000E0,-1.587500000E1,3.862500000E1,-2.468750000E1
3.986460000E0,-1.268750000E1,4.031250000E1,-2.400000000E1
4.006460000E0,-8.125000000E0,4.131250000E1,-2.350000000E1
4.026460000E0,-2.625000000E0,4.168750000E1,-2.400000000E1
4.046460000E0,2.500000000E0,4.093750000E1,-2.550000000E1
4.066461562E0,4.625000000E0,3.987500000E1,-2.743750000E1
4.096460000E0,4.437500000E0,3.800000000E1,-3.112500000E1
4.116460000E0,5.375000000E0,3.650000000E1,-3.331250000E1
4.136461562E0,8.375000000E0,3.568750000E1,-3.350000000E1
4.166460000E0,1.425000000E1,3.518750000E1,-3.175000000E1
4.186460000E0,1.831250000E1,3.562500000E1,-2.881250000E1
4.206461562E0,2.331250000E1,3.550000000E1,-2.512500000E1
4.236460000E0,2.681250000E1,3.506250000E1,-2.187500000E1
4.256460000E0,2.293750000E1,3.806250000E1,-2.125000000E1
4.276461562E0,1.968750000E1,4.025000000E1,-1.993750000E1
4.306460000E0,1.881250000E1,4.143750000E1,-1.693750000E1
4.326460000E0,1.968750000E1,4.143750000E1,-1.425000000E1
4.346460000E0,1.993750000E1,4.156250000E1,-1.156250000E1
4.366461562E0,1.950000000E1,4.181250000E1,-9.812500000E0
4.396460000E0,1.950000000E1,4.187500000E1,-8.312500000E0
4.416460000E0,1.937500000E1,4.212500000E1,-7.375000000E0
4.436461562E0,1.943750000E1,4.218750000E1,-6.687500000E0
4.466460000E0,2.018750000E1,4.175000000E1,-5.937500000E0
4.486460000E0,2.056250000E1,4.162500000E1,-5.625000000E0
4.506461562E0,2.100000000E1,4.131250000E1,-5.937500000E0
4.526464687E0,2.100000000E1,4.118750000E1,-7.000000000E0
4.556466250E0,1.993750000E1,4.106250000E1,-9.187500000E0
4.586460000E0,1.856250000E1,4.081250000E1,-1.150000000E1
4.606463125E0,1.787500000E1,4.112500000E1,-1.131250000E1
4.636461562E0,1.668750000E1,4.181250000E1,-1.187500000E1
4.656467812E0,1.606250000E1,4.218750000E1,-1.206250000E1
4.686460000E0,1.468750000E1,4.281250000E1,-1.212500000E1
4.706470937E0,1.431250000E1,4.287500000E1,-1.181250000E1
4.736460000E0,1.456250000E1,4.268750000E1,-1.212500000E1
4.756460000E0,1.487500000E1,4.212500000E1,-1.275000000E1
4.776461562E0,1.531250000E1,4.175000000E1,-1.325000000E1
4.806466250E0,1.625000000E1,4.075000000E1,-1.500000000E1
4.836460000E0,1.818750000E1,3.925000000E1,-1.637500000E1
4.856463125E0,1.950000000E1,3.812500000E1,-1.718750000E1
4.886460000E0,2.143750000E1,3.581250000E1,-1.956250000E1
4.906460000E0,2.300000000E1,3.450000000E1,-2.093750000E1
4.926461562E0,2.443750000E1,3.325000000E1,-2.200000000E1
4.956460000E0,2.587500000E1,3.100000000E1,-2.406250000E1
4.976460000E0,2.587500000E1,2.981250000E1,-2.556250000E1
4.996461562E0,2.593750000E1,2.868750000E1,-2.656250000E1
5.026460000E0,2.606250000E1,2.781250000E1,-2.712500000E1
5.046460000E0,2.631250000E1,2.712500000E1,-2.775000000E1
5.066461562E0,2.700000000E1,2.593750000E1,-2.812500000E1
5.096460000E0,2.787500000E1,2.450000000E1,-2.887500000E1
5.116460000E0,2.806250000E1,2.356250000E1,-2.975000000E1
5.136461562E0,2.843750000E1,2.237500000E1,-3.037500000E1
5.166460000E0,2.981250000E1,2.137500000E1,-3.056250000E1
5.186460000E0,3.093750000E1,2.112500000E1,-2.975000000E1
5.206461562E0,3.181250000E1,2.075000000E1,-2.937500000E1
5.236460000E0,3.168750000E1,2.068750000E1,-2.918750000E1
5.256460000E0,3.218750000E1,2.175000000E1,-2.793750000E1
5.276461562E0,3.325000000E1,2.337500000E1,-2.587500000E1
5.306460000E0,3.393750000E1,2.606250000E1,-2.162500000E1
5.326460000E0,3.456250000E1,2.800000000E1,-1.825000000E1
5.346460000E0,3.418750000E1,2.962500000E1,-1.568750000E1
5.366461562E0,3.375000000E1,3.100000000E1,-1.331250000E1
5.386461562E0,3.356250000E1,3.212500000E1,-1.043750000E1
5.406461562E0,3.356250000E1,3.275000000E1,-7.812500000E0
5.426461562E0,3.362500000E1,3.362500000E1,-5.687500000E0
5.456460000E0,3.362500000E1,3.400000000E1,-2.187500000E0
5.476460000E0,3.381250000E1,3.418750000E1,3.125000000E-1
5.496461562E0,3.356250000E1,3.437500000E1,2.312500000E0
5.526460000E0,3.312500000E1,3.450000000E1,4.625000000E0
5.546460000E0,3.306250000E1,3.468750000E1,5.687500000E0
