"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.756885500E0,-1.051376343E1,6.909004211E0,-4.757412720E1
6.776970500E0,-1.227911377E1,6.185539246E0,-4.714865112E1
6.797055500E0,-1.166534424E1,5.664108276E0,-4.738101196E1
6.817140500E0,-1.085125732E1,5.937751770E0,-4.754473877E1
6.837225500E0,-1.140826416E1,6.484420776E0,-4.751821899E1
6.857310500E0,-1.225381470E1,6.419029236E0,-4.721868896E1
6.877395500E0,-1.325216675E1,6.145317078E0,-4.685433960E1
6.897479500E0,-1.459167480E1,5.679466248E0,-4.658953857E1
6.917564500E0,-1.685623169E1,5.254898071E0,-4.592446899E1
6.937649500E0,-1.975479126E1,4.347595215E0,-4.478930664E1
6.957734500E0,-2.309576416E1,3.403175354E0,-4.347128296E1
6.977819500E0,-2.589379883E1,1.687454224E0,-4.189712524E1
6.997904500E0,-2.797421265E1,-8.979797363E-3,-4.056613159E1
7.017989500E0,-2.969360352E1,-1.275062561E0,-3.944482422E1
7.038074500E0,-3.105429077E1,-2.005859375E0,-3.824523926E1
7.058159500E0,-3.165457153E1,-2.731880188E0,-3.800814819E1
7.078243500E0,-3.173342896E1,-3.910453796E0,-3.794360352E1
7.098328500E0,-3.151760864E1,-5.274032593E0,-3.798373413E1
7.118413500E0,-3.098587036E1,-6.542396545E0,-3.801580811E1
7.138498500E0,-3.076376343E1,-7.616744995E0,-3.802011108E1
7.158583500E0,-3.090142822E1,-9.177902222E0,-3.746707153E1
7.178668500E0,-3.119937134E1,-1.060642242E1,-3.699615479E1
7.198753500E0,-3.120407104E1,-1.242023468E1,-3.631188965E1
7.218838500E0,-3.124453735E1,-1.428035736E1,-3.584869385E1
7.238923500E0,-3.104934692E1,-1.534788513E1,-3.540121460E1
7.259007500E0,-3.136251831E1,-1.702235413E1,-3.476678467E1
7.279092500E0,-3.118331909E1,-1.839160919E1,-3.395159912E1
7.299177500E0,-3.043606567E1,-1.904711151E1,-3.448257446E1
7.319262500E0,-2.919058228E1,-1.991886139E1,-3.487094116E1
7.339347500E0,-2.807009888E1,-2.166745758E1,-3.495761108E1
7.359432500E0,-2.719027710E1,-2.375866699E1,-3.417047119E1
7.379517500E0,-2.667019653E1,-2.533598328E1,-3.337338257E1
7.399602500E0,-2.669543457E1,-2.621078491E1,-3.254409790E1
7.419687583E0,-2.688500977E1,-2.644959259E1,-3.220394897E1
7.439771583E0,-2.735754395E1,-2.622196198E1,-3.211071777E1
7.459856583E0,-2.783322144E1,-2.591970825E1,-3.201077271E1
7.479941583E0,-2.834533691E1,-2.565091705E1,-3.146520996E1
7.500026583E0,-2.895861816E1,-2.546690369E1,-3.143139648E1
7.520111583E0,-2.948818970E1,-2.537744904E1,-3.103280640E1
7.540196583E0,-2.991818237E1,-2.530783081E1,-3.086358643E1
7.560281583E0,-3.036682129E1,-2.516251373E1,-3.059786987E1
7.580366583E0,-3.094418335E1,-2.465887451E1,-3.046994019E1
7.600451583E0,-3.159451294E1,-2.407623291E1,-3.004818726E1
7.620536583E0,-3.272140503E1,-2.352401733E1,-2.919461060E1
7.640620583E0,-3.385293579E1,-2.287683868E1,-2.806442261E1
7.660705583E0,-3.477792358E1,-2.250651550E1,-2.759814453E1
7.680790583E0,-3.545053101E1,-2.167250061E1,-2.735693359E1
7.700875583E0,-3.583602905E1,-2.109754944E1,-2.716732788E1
7.720960583E0,-3.602636719E1,-2.100269318E1,-2.703579712E1
7.741045583E0,-3.629333496E1,-2.157228088E1,-2.662976074E1
7.761130583E0,-3.619143677E1,-2.241642761E1,-2.623059082E1
7.781215583E0,-3.583099365E1,-2.339307404E1,-2.566232300E1
7.801300583E0,-3.570867920E1,-2.407291412E1,-2.523971558E1
