"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.494851000E0,-1.040041670E-1,7.168416381E-1,5.941100791E-2
3.514851000E0,-1.662949771E-1,1.062102675E0,1.040216237E-1
3.534851000E0,-3.137403727E-1,1.297111273E0,3.230080903E-1
3.554851000E0,-3.839724362E-1,1.202130437E0,4.656713009E-1
3.574851000E0,-4.532620013E-1,9.234188199E-1,3.969576955E-1
3.594851000E0,-7.320434451E-1,3.438298702E-1,1.224522963E-1
3.614851000E0,-8.466941118E-1,-1.567654759E-1,-4.693190381E-2
3.634851000E0,-4.504694641E-1,-1.609019041E-1,-2.569124661E-2
3.654851000E0,2.517288327E-1,3.624525368E-1,2.113070190E-1
3.674851000E0,6.531196833E-1,5.764299035E-1,4.329638183E-1
3.694851000E0,2.790606916E-1,7.853982039E-3,4.755149484E-1
3.714851000E0,-2.994984984E-1,-5.465149283E-1,3.458020687E-1
3.734851000E0,-5.557128191E-1,-6.788108945E-1,2.612408698E-1
3.754851000E0,-4.242546260E-1,-4.583060145E-1,2.740865052E-1
3.776851000E0,-1.582490057E-1,-2.096838504E-1,3.413864076E-1
3.796851000E0,5.506513640E-2,-2.381327152E-1,4.426504076E-1
3.816851000E0,1.188569218E-1,-3.619987369E-1,4.485845268E-1
3.836851000E0,4.640830308E-2,-3.070383072E-1,3.226241171E-1
3.856851000E0,-9.793042392E-2,3.131644130E-1,1.624203324E-1
3.876851000E0,-1.413542181E-1,5.014854670E-1,1.552644968E-1
3.896851000E0,-2.177647352E-1,-1.082104165E-2,3.739018738E-1
3.916851000E0,-2.569473684E-1,-4.176572859E-1,5.402143002E-1
3.936851000E0,-2.568426430E-1,-7.408049703E-1,6.301162243E-1
3.956851000E0,-2.377836555E-1,-8.818799853E-1,6.705904007E-1
3.976851000E0,-2.065597177E-1,-8.591383100E-1,6.827029586E-1
3.996851000E0,-4.325274825E-1,-1.911135465E-1,6.870488524E-1
4.016851000E0,-6.116855145E-1,3.854734302E-1,7.552737594E-1
4.036851000E0,-9.654986858E-1,7.801970840E-1,7.871783972E-1
4.056851000E0,-1.152405977E0,8.029561639E-1,7.176793814E-1
4.076851000E0,-1.209443331E0,4.435056150E-1,4.859520197E-1
4.096851000E0,-1.081248879E0,8.190830052E-2,1.533795297E-1
4.116851000E0,-8.601331711E-1,3.164631128E-1,1.232900545E-1
4.136851000E0,-8.296771646E-1,8.359254599E-1,3.234444261E-1
4.156851000E0,-1.154936671E0,8.793666959E-1,3.590665758E-1
4.176851000E0,-1.456808925E0,3.893480599E-1,3.197443113E-2
4.196851000E0,-1.067932010E0,-1.959132105E-1,-2.322160602E-1
4.216851000E0,-1.141096279E-1,-6.165026426E-1,-1.090656221E-1
4.236851000E0,8.316842914E-1,-7.716274858E-1,2.287952155E-1
4.256851000E0,1.282624960E0,-8.171631694E-1,4.584805369E-1
4.276851000E0,1.191222072E0,-6.395409703E-1,2.646966279E-1
4.296851000E0,8.914617896E-1,-2.426531315E-1,-1.869945824E-1
4.316851000E0,6.317917109E-1,1.093797833E-1,-5.762379169E-1
4.336851000E0,4.678180516E-1,2.841745019E-1,-8.129045367E-1
4.356851000E0,3.628714085E-1,3.080680668E-1,-8.795412183E-1
4.376851000E0,3.092548847E-1,2.843141258E-1,-8.189084530E-1
4.396851000E0,2.740341425E-1,2.092475295E-1,-7.478212118E-1
4.416851000E0,1.786170006E-1,7.953465730E-2,-6.998770237E-1
4.436851000E0,-7.539822254E-3,-7.379251719E-2,-7.118849158E-1
4.456851000E0,-1.931730360E-1,-2.507514656E-1,-8.359777927E-1
4.476852563E0,-2.766521275E-1,-4.486892521E-1,-9.720960259E-1
4.498851000E0,-2.243795246E-1,-5.781926513E-1,-9.543809295E-1
4.518851000E0,-1.431693584E-1,-6.092420816E-1,-7.912450433E-1
4.538852563E0,-1.697681695E-1,-6.527531147E-1,-6.535036564E-1
4.558852563E0,-2.438923120E-1,-6.569244862E-1,-6.270095110E-1
4.578852563E0,-2.536137998E-1,-5.677905083E-1,-6.589316130E-1
4.598852563E0,-1.109854877E-1,-3.526088595E-1,-6.395061016E-1
4.618852563E0,1.034282148E-1,-1.322610527E-1,-6.148271561E-1
4.640852563E0,1.557357311E-1,-1.236216724E-1,-5.593605638E-1
4.660852563E0,8.623671532E-2,-2.997777462E-1,-5.951572657E-1
4.682851000E0,1.577777565E-1,-3.163758218E-1,-5.937958956E-1
4.702851000E0,4.380601943E-1,-2.153736353E-2,-5.147324800E-1
4.722851000E0,6.644992232E-1,1.102349982E-1,-4.090179205E-1
4.742851000E0,5.570392609E-1,-5.466371030E-2,-4.443433583E-1
4.762851000E0,1.839576960E-1,-4.414984882E-1,-6.230999827E-1
4.782852563E0,-2.002067119E-1,-5.579468608E-1,-8.426100612E-1
4.802852563E0,-4.835434556E-1,-4.385488927E-1,-8.707098365E-1
4.822852563E0,-5.797110796E-1,-2.490933836E-1,-6.239028573E-1
4.844852563E0,-5.002637506E-1,-1.376192123E-1,-1.579173952E-1
4.866852563E0,-3.112096488E-1,-4.740314186E-2,2.412219495E-1
4.888852563E0,-1.047197497E-3,2.668433785E-1,3.802374303E-1
4.908852563E0,3.016278148E-1,6.425080299E-1,3.094643354E-1
4.928865063E0,5.367236733E-1,8.755269647E-1,2.147802114E-1
4.950851000E0,6.236584783E-1,9.217607379E-1,6.127851084E-2
4.970852563E0,5.309640765E-1,8.374438882E-1,-1.614953130E-1
4.990852563E0,3.354173601E-1,6.550395489E-1,-4.710818231E-1
5.010852563E0,1.515643895E-1,4.005530477E-1,-8.520522714E-1
5.030852563E0,4.735078290E-2,2.206619829E-1,-1.218135118E0
5.050852563E0,5.647885427E-2,1.532224566E-1,-1.410243511E0
5.070852563E0,1.608669907E-1,2.590592206E-1,-1.422687650E0
5.092852563E0,1.619490981E-1,2.874208093E-1,-1.316414595E0
5.114852563E0,1.891936921E-2,1.885479242E-1,-1.248137355E0
5.134852563E0,-2.542944849E-1,-1.211956665E-1,-1.279605627E0
5.156852563E0,-5.680348277E-1,-4.675911665E-1,-1.357133150E0
5.178852563E0,-7.404035926E-1,-4.636990726E-1,-1.447541118E0
5.198852563E0,-8.033052683E-1,-1.723163575E-1,-1.434416294E0
5.218872875E0,-8.957378864E-1,7.613126189E-2,-1.301212788E0
5.240851000E0,-1.126714706E0,-2.517113984E-1,-1.258574367E0
5.260851000E0,-1.412407637E0,-1.099260688E0,-1.667208314E0
5.280852563E0,-1.179999709E0,-1.429424644E0,-2.156179667E0
5.302852563E0,-8.674286306E-2,-6.333101988E-1,-2.059837580E0
5.324851000E0,1.061212540E0,1.764353365E-1,-1.358459592E0
5.344852563E0,1.426195741E0,1.722814441E-1,-7.757115960E-1
5.366851000E0,1.167014360E0,8.330456167E-2,-7.427423000E-1
5.386851000E0,8.543561101E-1,6.291911751E-2,-1.171552300E0
5.406851000E0,6.205692887E-1,-4.621632025E-2,-1.739255548E0
5.426851000E0,4.135383070E-1,-1.618618369E-1,-2.133054256E0
5.446851000E0,2.152165473E-1,-1.718102098E-1,-2.232782364E0
5.466851000E0,1.389631182E-1,-7.033676654E-2,-2.159862280E0
5.486851000E0,1.199215725E-1,-2.015855350E-2,-2.065754175E0
5.506851000E0,8.456119895E-2,-2.499311417E-2,-1.987930059E0
5.526851000E0,8.573057503E-2,3.038618155E-2,-1.903107047E0
5.546851000E0,1.671676338E-1,1.312313080E-1,-1.763567924E0
5.566851000E0,2.794795632E-1,2.372949570E-1,-1.591461062E0
5.586851000E0,2.135759443E-1,2.559525371E-1,-1.413542151E0
5.606851000E0,-2.513274178E-2,3.075968325E-1,-1.325717211E0
5.628849438E0,-3.304257393E-1,1.161865667E-1,-1.259778619E0
5.648851000E0,-4.617094100E-1,-4.882558584E-1,-1.086519837E0
5.668851000E0,-3.175452054E-1,-1.187207818E0,-9.226857424E-1
5.688851000E0,-5.016076192E-2,-1.365318656E0,-8.110370636E-1
5.708851000E0,1.804670505E-2,-7.873180509E-1,-4.180063605E-1
5.728863500E0,-2.228785455E-1,-5.215741992E-1,-4.862487316E-2
